GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.meta,InvalidEntityException,18,0,0,0,7,0,3,0,3,0
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.meta,PropertyMeta,90,219,23,13,18,57,18,37,3,34
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.meta,PropertyMetaFactory,622,346,48,60,137,79,48,30,15,9
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.meta,EntityMeta,62,234,10,26,12,59,17,31,7,23
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.meta,ColumnMeta,3,27,0,0,0,7,1,6,1,6
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.meta,TableMeta,8,24,0,0,2,6,2,6,2,6
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.meta,PropertyValueInvoker,205,67,26,12,47,20,21,5,2,5
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.meta,EntityMetaFactory,247,344,29,31,63,81,32,28,9,21
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.config,SqlTemplateProperties,85,17,18,0,0,3,13,5,4,5
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.config,TableIdGeneratorProperties,266,31,50,0,7,1,36,8,11,8
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.config,SqlMapperConfigurationSupport,0,235,0,0,0,54,0,18,0,18
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.query,SelectClause,9,44,1,3,2,13,2,6,1,5
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.query,IllegalOperateException,4,0,0,0,2,0,1,0,1,0
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.query,FromClause,42,60,5,2,11,18,6,5,2,5
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.query,JoinType,0,24,0,0,0,3,0,1,0,1
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.query,IllegalQueryException,4,0,0,0,2,0,1,0,1,0
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.query,JoinAssociation,3,18,0,0,1,3,1,3,1,3
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.query,SelectForUpdateType,34,0,0,0,4,0,1,0,1,0
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.query,WhereClause,45,37,3,1,9,10,5,4,3,4
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.query,OrderByClause,4,29,0,2,1,8,1,4,1,3
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.query,TableNameResolver,24,79,3,1,3,14,3,8,1,8
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.query,InsertClause,92,0,2,0,18,0,6,0,5,0
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.query,JoinCondition,0,21,0,0,0,4,0,4,0,4
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.query,SetClause,48,0,2,0,12,0,6,0,5,0
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,PostBatchUpdateEvent,6,0,0,0,2,0,1,0,1,0
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,AbstractEntityBatchEvent,16,0,0,0,6,0,3,0,3,0
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,PostDeleteEvent,0,6,0,0,0,2,0,1,0,1
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,PostBatchInsertEvent,6,0,0,0,2,0,1,0,1,0
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,PreBatchDeleteEvent,6,0,0,0,2,0,1,0,1,0
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,PreBatchUpdateEvent,6,0,0,0,2,0,1,0,1,0
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,PreBatchInsertEvent,6,0,0,0,2,0,1,0,1,0
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,PostBatchDeleteEvent,6,0,0,0,2,0,1,0,1,0
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,PreUpdateEvent,6,0,0,0,2,0,1,0,1,0
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,PreDeleteEvent,0,6,0,0,0,2,0,1,0,1
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,PostSelectEvent,0,6,0,0,0,2,0,1,0,1
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,PreInsertEvent,0,6,0,0,0,2,0,1,0,1
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,AbstractEntityEvent,3,13,0,0,1,5,1,2,1,2
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,PostInsertEvent,0,6,0,0,0,2,0,1,0,1
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.event,PostUpdateEvent,6,0,0,0,2,0,1,0,1,0
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.type.standard,LocalDateType,15,26,4,2,3,9,5,4,2,4
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.type.standard,NumberableBooleanType,46,0,12,0,10,0,10,0,4,0
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.type.standard,UtilDateType,20,6,0,0,4,3,4,1,4,1
sqlmapper-spring-boot-autoconfigure/sqlmapper-core,com.github.mygreen.sqlmapper.core.type.standard,BooleanType,28,6,8,0,8,1,7,1,3,1
